name,url
ca-on_Lindsay-Transit,https://routing.spline.de/gtfs/ca-on_Lindsay-Transit.gtfs.zip
ca-on_Metrolinx-gotransit,https://routing.spline.de/gtfs/ca-on_Metrolinx-gotransit.gtfs.zip
ca-on_MiWay,https://routing.spline.de/gtfs/ca-on_MiWay.gtfs.zip
ca-on_Mid-Pen-Transit,https://routing.spline.de/gtfs/ca-on_Mid-Pen-Transit.gtfs.zip
ca-on_Middlesex-County-Connect,https://routing.spline.de/gtfs/ca-on_Middlesex-County-Connect.gtfs.zip
ca-on_Milton-Transit,https://routing.spline.de/gtfs/ca-on_Milton-Transit.gtfs.zip
ca-on_North-Bay-Transit,https://routing.spline.de/gtfs/ca-on_North-Bay-Transit.gtfs.zip
ca-on_OCTranspo,https://routing.spline.de/gtfs/ca-on_OCTranspo.gtfs.zip
ca-on_Oakville-Transit,https://routing.spline.de/gtfs/ca-on_Oakville-Transit.gtfs.zip
ca-on_Ontario-Northland,https://routing.spline.de/gtfs/ca-on_Ontario-Northland.gtfs.zip
ca-on_Orangeville-Transit,https://routing.spline.de/gtfs/ca-on_Orangeville-Transit.gtfs.zip
ca-on_Orillia-Transit,https://routing.spline.de/gtfs/ca-on_Orillia-Transit.gtfs.zip
ca-on_PCConnect,https://routing.spline.de/gtfs/ca-on_PCConnect.gtfs.zip
ca-on_Railway-City-Transit,https://routing.spline.de/gtfs/ca-on_Railway-City-Transit.gtfs.zip
ca-on_Ride-Norfolk,https://routing.spline.de/gtfs/ca-on_Ride-Norfolk.gtfs.zip
ca-on_Sarnia-Transit,https://routing.spline.de/gtfs/ca-on_Sarnia-Transit.gtfs.zip
ca-on_Sault-Ste-Marie-Transit,https://routing.spline.de/gtfs/ca-on_Sault-Ste-Marie-Transit.gtfs.zip
ca-on_Simcoe-County-LINX,https://routing.spline.de/gtfs/ca-on_Simcoe-County-LINX.gtfs.zip
ca-on_Stratford-Transit,https://routing.spline.de/gtfs/ca-on_Stratford-Transit.gtfs.zip
ca-on_TTC,https://routing.spline.de/gtfs/ca-on_TTC.gtfs.zip
